locator	originDocument	originPinId	bytes	rawSha256	observedMatchesPin	sealedSsaAuthentication	sealedEappAuthentication
research-lanes/bch-shielded-pool-design/p2/gate-b/gate-b0-evidence-plan-v1/MANIFEST.json	SSA.transitiveSourcePins	pin:parent:b0r-manifest	6847	1406240ccabd976f3b066500a3b111ba3395ee3dce41c804153e2fddd72f57b7	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/gate-b0-evidence-plan-v1/SHA256SUMS	SSA.transitiveSourcePins	pin:parent:b0r-sums	1468	5e02267005bdda74cbc681f9d0d0f5592a65294dc4f727d14556fb381e93625a	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/gate-b0-evidence-plan-v1/validate-static.mjs	SSA.transitiveSourcePins	pin:parent:b0r-validator	50253	739fd21bda2dab59bd18f0e0c641be6a9eccd1c0e7bd637a0b8163068c399893	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/gate-b0-evidence-plan-review-anchor.v1.json	SSA.transitiveSourcePins	pin:parent:b0r-anchor	8541	920b52f253ca186c92d80c9b9b69aa8669c0109923b0b418df86f5b783d5d34f	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-policy-authority-v1/policy-authority-root.v1.json	SSA.transitiveSourcePins	pin:foundation:p-root	21910	f037f88c311d29293e3d5f55999a58c3aada227510df5bb032d5590855189c6e	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-policy-authority-v1/MANIFEST.json	SSA.transitiveSourcePins	pin:foundation:p-manifest	6271	60fbc7ffe72e41a4df60603d9d4b6b0f0e118e1577028643fc867fbe3cb06bb1	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-policy-authority-v1/SHA256SUMS	SSA.transitiveSourcePins	pin:foundation:p-sums	2676	66a8e1437c4c8d78dfa7600f7d0e1b83a2c6321c3f86b3d3a3dc2678eba992bb	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-runtime-binding-v1/runtime-binding-root.v1.json	SSA.transitiveSourcePins	pin:foundation:r-root	52988	b0ce9e0ec7b11770ed773b73a12ccb8a7d25a9ba3b4b38415dc1b90bf129d3dd	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-runtime-binding-v1/MANIFEST.json	SSA.transitiveSourcePins	pin:foundation:r-manifest	4055	2da4f55beba04efee8a019b1cac9493e7d6f099de91d36fe30d18e32cc5aa254	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
research-lanes/bch-shielded-pool-design/p2/gate-b/cohort-runtime-binding-v1/SHA256SUMS	SSA.transitiveSourcePins	pin:foundation:r-sums	2331	c25438471cfbd6949a886d723facb29ec5d0538be48dec7d28a87243065759ea	YES	YES_PIN_RECORD_IN_SEALED_SSA_ROOT_AND_ANCHOR	INDIRECT_VIA_SEALED_EAPP_PIN_OF_SSA_ROOT
